"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PRY",1,2001,2058.75083095856141016,573755.435434000480182
"PRY",1,2002,14767.39653423822432439,4155817.7895112484731223
"PRY",1,2003,32680.24069253560292277,8596700.675510285519922
"PRY",1,2004,10185.74781360442574610,2680957.696341581739675
"PRY",1,2005,10272.70292793812110940,2679715.329691771301502
"PRY",1,2006,4420.43339272783109969,1077059.419856530966263
"PRY",1,2007,21156.03409409146498193,5684462.247603095097826
"PRY",1,2008,21556.12447098843210464,6025299.018726047931754
"PRY",1,2009,22841.31256045002612204,6551727.9033003063780085
"PRY",1,2010,32264.42863621868737688,9402440.7530119396800074
"PRY",1,2011,17505.00495132944029896,5689855.524793143520645
"PRY",1,2012,35138.61992325780609204,10062790.292474578101400
"PRY",1,2013,15864.52172787018495606,4380398.743690557611926
"PRY",1,2014,11167.82798335739792879,5197659.129581851398273
"PRY",1,2015,12662.32130403838921004,6318880.921337829908036
"PRY",1,2016,20623.68647692500955295,8001903.096498386383852
"PRY",1,2017,13567.58238135709525104,4561832.901352448518038
"PRY",1,2018,7579.36820444280882169,2030119.40265341408817
"PRY",1,2019,8511.81310392869739787,2093391.804266821767076
"PRY",1,2020,3761.61722589743151154,1174633.362138140182640
"PRY",1,2021,6098.10545210813767169,1869233.012606110652194
"PRY",1,2022,7681.54219770681875465,2315362.861713452941747
"PRY",1,2023,5180.72492888462720878,1582399.508947587024265
"PRY",1,2024,8399.89465166762259064,2211426.584254778912198
"PRY",1,2025,1330.21201528539958231,415117.743941664107182
