"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PRY",1,2001,36627.29151481970776574,7897952.530045390910147
"PRY",1,2002,54016.73908066660018348,11466195.2038342351801653
"PRY",1,2003,88534.46079853348414395,19885212.189828843467852
"PRY",1,2004,44681.59193943725413407,9053877.013523197765066
"PRY",1,2005,43577.29893309628648161,8612140.708912062465967
"PRY",1,2006,29528.09424347418419602,5824858.7897908147991175
"PRY",1,2007,91946.05010025674175187,19866465.054020654042197
"PRY",1,2008,116307.58327385358101957,26708895.671376040301460
"PRY",1,2009,111455.90494598567090310,26753229.3072197244955145
"PRY",1,2010,156091.53490234971315900,37847528.7949358199775384
"PRY",1,2011,107279.63651116957456785,26582646.626755650067909
"PRY",1,2012,140485.10188801681927308,35506501.064262896168943
"PRY",1,2013,82768.88641889113505811,19996174.5905712659623735
"PRY",1,2014,73838.35587136842353687,23204855.755664251859310
"PRY",1,2015,70495.00623273174346963,25376820.727183949363735
"PRY",1,2016,89588.48063302175694267,29059009.226851899785627
"PRY",1,2017,67888.27650735587384304,19365559.939723502163150
"PRY",1,2018,49012.27601744938933001,13131560.521937770229930
"PRY",1,2019,142762.34943117570973661,26981958.257737436099070
"PRY",1,2020,36586.23483231748580506,10466810.9917212168463335
"PRY",1,2021,88171.64302925437590055,23771118.619005149179155
"PRY",1,2022,58876.88633492190964088,17451955.050748883592758
"PRY",1,2023,42963.87487071535072109,13263906.928597503217324
"PRY",1,2024,81903.88119392668246066,19831272.074109411446018
"PRY",1,2025,28523.52813007290272556,8731444.573650235976030
