"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PRY",5,2001,36729.82520883723430502,4568868.8087024811998912
"PRY",5,2002,38558.45733157997074504,4770276.685926392477016
"PRY",5,2003,39543.27419313500071269,5254355.937990252659393
"PRY",5,2004,37714.77898424146399657,5304112.4743024532267815
"PRY",5,2005,92094.12582907499968145,13656852.8230020929891066
"PRY",5,2006,44730.40745345718998772,6794803.2971882380924615
"PRY",5,2007,171496.96329909749878133,27007025.032720840933584
"PRY",5,2008,149855.41707679834876966,24293440.2559325313266285
"PRY",5,2009,157002.27136132907100384,26307747.661332569983367
"PRY",5,2010,175620.96854141831385490,29782119.7919339904551395
"PRY",5,2011,224444.24054574051829042,38972206.1760659130279485
"PRY",5,2012,227484.53669405361632443,38780878.033056487363058
"PRY",5,2013,146385.78639847738630014,25244208.6962916814819038
"PRY",5,2014,191990.48312674761196458,35047553.8447122217224186
"PRY",5,2015,152561.02254549038846866,27713771.5996871720722105
"PRY",5,2016,152025.19767813433669383,28727004.797470345411312
"PRY",5,2017,149068.58065028212078123,28243741.4203395815258112
"PRY",5,2018,152783.26512047720198656,29652725.658689089363085
"PRY",5,2019,84281.84903047231309264,16619329.303580639350706
"PRY",5,2020,98725.09098583309279712,19808430.197145700855491
"PRY",5,2021,90238.11632255933977981,18608065.262823471052324
"PRY",5,2022,79189.03489444209935354,16920990.208711355167043
"PRY",5,2023,76385.41423218216192773,16371064.848409620663965
"PRY",5,2024,101480.25762948747511645,21990496.274269413507498
"PRY",5,2025,63502.52819528997814304,14425258.365197164346595
